Project;Risk;Stakeholder;idx
Cobotic systems,Human operator safety during design process,Final users (humans)| designers| engineers| evaluators,1123
None,Economic losses| decreased sales| and unsustainable supplies due to disruptions in supply chain networks.,None,1124
Addressing environmental degradation| reducing air and water pollution| moving towards sustainability.,Long-term threats to sustainability (e.g.| climate change| loss of biodiversity)| environmental quality becoming a casualty of development.,Both the United States and Canada| as well as their citizens who will be affected by environmental policies and practices.,1125
Purpose A lack of reliable and effective communication tools poses major barriers impeding the performance of construction projects consisting of diverse participants. Although some construction project teams (CPTs) begin to apply social media (SM) as an,Lack of reliable and effective communication tools poses major barriers impeding the performance of construction projects consisting of diverse participants.,None,1126
Load transfer is an important aspect of Portland cement concrete joint design. A field research project in Iowa has used two elliptical bars of different sizes at three spacings and numbers of bars per joint. Test sections included bars across the entire joint and sections using bars only in the wheelpaths.,none detected,Researchers| engineers| construction professionals| property owners|,1127
Ceiling fans in commercial spaces (13 interviews with professionals| 20 operational projects),Low airspeeds (in situ airspeed measurements at five projects showed generally relatively low airspeeds| often under 0.2 m/s),Designers and the wider industry (to frame a path forward for the inclusion of ceiling fans in commercial buildings),1128
Proposing a modeling framework for reliable facility location design| developing a Lagrangian relaxation algorithm to solve the problem| conducting case studies to test the performance of the proposed algorithm.,Facility disruption| uncertainty about real-time state of facilities| probability of disruptions.,Customers who use trial-and-error strategy to find the right facility| companies,1129
thermal treatment,alteration of soil properties| transformation of coexisting contaminants| difficulty in subsequent treatment processes,,1130
INFN BNCT project,none detected,ENEA| Casaccia TAPIRO research fast reactor,1131
Urban development| construction projects.,Leakage| implementation gap| bias in the policy process.,Players in the policy process| administrators.,1132
None,None,None,1133
Extending the useable life of asphalt pavement roadways| reducing material costs| studying innovative construction techniques for ECC.,Costly fibers and micro silica for the design mix| high volumes of cement.,Contractors| construction workers| homeowners| government agencies responsible,1134
Description of a Project Management System (PMS) and its implementation in a Small and Medium Enterprise (SME).,Implementation| complexity| embedding process| etc.,Organization| employees| management| customers| partners| etc.,1135
identification| systematization| synthesis,controversy| unstructured| fragmented,employees| workers| customers| investors,1137
Investigating the chloride binding ability of alkali-activated ground granulated blast furnace slag (GGBFS) and binary blend pastes.,Corrosion,None,1138
None,None,None,1139
Mussel farming,Future price fluctuations|Demand for mussels decreasing|Changes in public regulations,Farmers themselves|Government agencies|Co-ops and industry groups,1140
None,None,None,1141
mitigation scenarios for reducing methane emissions,none detected,agricultural sector| specifically ruminants (cattle| sheep| etc.),1142
Investigating the impact of weather conditions on droplet size and temporal dynamics (using numerical observations and contributing to better map droplet sizes and transmission routes),Ambient temperature and humidity affecting the evolution of droplets exhaled during coughing and sneezing (evaporation depends on gradient of exhaled air temperature and surrounding air),,1143
None,None,None,1144
None,None,None,1145
analyzing the vertical and horizontal variation of nitrogen dioxide (NO2) and benzene (C6H6) concentration along a major city ring motorway.,exposure to high levels of air pollution near motorways| which can lead to serious health problems.,individuals living| working| or attending school near the motorway| as well as policymakers and urban,1146
None,loss of mangrove coverage due to destruction (over 40% in the last 40 years).,policymakers and markets|,1147
"""highway projects""","""cost increases and time delays""","""transportation agencies""",1148
None,None,None,1149
None,none detected,researchers| practitioners working with hyperspectral imaging,1150
None,None,None,1151
None,None,None,1152
None,None,None,1153
"""interactive approach""",None,"""decision maker""",1154
High speed railway line connecting central Croatia and coastal regions of the country.,None,University of Zagreb - Faculty of Civil Engineering| researchers| and possibly the government of Croatia.,1155
injection moulding process| machine settings| cleaning raw material hopper,setup time| crew skills| breakdowns,clients (depending on the context),1156
None,Negative relationship between board independence and TCIR| positive relationship between age of directors| profitability| and leverage and timeliness of corporate internet reporting,None,1157
Investigation of leaching behavior of particulate GaAs in aqueous solutions,Arsenic (As): 2.6-2.8-fold higher than regulatory limit (5 mg/L),Public health and ecological risks associated with the potential release of toxic As species.,1158
None,none detected,None,1159
None,None,None,1160
None,None,None,1161
Train-track coupling dynamic model|Temporal evolution of safety coefficients,Derailment coefficients|Wheel load reduction rate,Safety indices,1162
"""solution analyzing of a new engineering decision problem""","""identify solved engineering decision problems in DSS which new problems users input are similar to""","""users""",1163
road construction project,compaction of a soil mass| pore pressure gauges| inclinometers| settlement measuring,people involved in the project| such as those who carried out the testing and measurements (e.g.| technicians| engineers| scientists).,1164
None,None,None,1165
None,None,None,1166
None,"Elements:|""Association""|""Tropical cyclone""|""Development""",Elements:,1167
None,Organic matter| concentration| maturation| hydrocarbon potentiality| correlation| and clustering.,Researchers| developers| investors| and decision-makers interested in unconventional resource exploration and development.,1168
Investment projects| multistage investment project| committing resources to a project| generating net benefits.,Escalation effects| committed resources to a losing course of action| overspending a budget,Decision makers| organization.,1169
A 360-day,Dredging can lead to an increase in internal phosphorus (P) loading due to the accumulation of P-adsorbed suspended particulate matter (SPM) from the inflowing rivers. This can negatively impact the post-dredging sediment-water interface and increase internal P loading.,None,1170
None,None,Designer and practitioners who can use the predicted equations to save time and effort in conducting hectic laboratory tests.,1171
None,None,None,1172
Climate change mitigation and adaptation policies,Dangerous climate change| including the possibility of reaching tipping points or exceeding threshold values that could lead to catastrophic consequences.,Major parties involved in shaping climate change policies| such as governments| civil society organizations| and private sector actors.,1173
The Use-it-Wisely project aimed to demonstrate the potential benefits of interactive collaborative environments and new business models in improving product-services.,"Adapting product-services to meet customer requirements in rapidly changing markets could pose risks such as increased competition, changing consumer preferences, and market volatility.",None,1174
None,None,State actors,1175
None,None,None,1176
Building construction projects| design quality problems| leading indicators| quality management.,Technical complexity| organizational complexity| problematic design deliverables| design defects| causal factors| impacts.,Industry practitioners| design defects| quality management.,1177
Investigating the attitudes and behaviors of Hong Kong citizens towards energy transition through an online questionnaire.,Neglecting individual engagement and participation in energy transition efforts.,Citizens of Hong Kong who participated in the survey.,1178
Emergency response,Radiological contamination| nuclear accident,Scientific organization| civilian protection community| nuclear crisis organization,1179
projecting ocean biogeochemistry and fisheries resources under climate change,none detected,researchers conducting strategic analyses and experiments to test the effects of altered prey consumption dynamics on marine food webs and fisheries models.,1181
analysis of the spatio-temporal distribution pattern of OCIs and their concurrent environmental fate in surface soil samples collected from six provinces during monsoon and summer seasons in Palakkad district|,exposure to organochlorine insecticides (OCIs) through direct application into soil and potential mobilization into aquatic systems| posing serious health hazards to biota and ecosystem.,None,1182
remediation of contaminated sites| including the development of new technologies and decision support tools.,potential contamination| damage to human health| and ecosystems.,users of decision support tools for contaminated site remediation| including environmental scientists| policymakers| and industry professionals.,1183
The study aimed to analyze the modification of the association between traffic air pollution and neurodevelopmental outcomes in children due to the APOE epsilon 4 status.,Air pollution| specifically traffic-related air pollution| which has been linked to an increased risk of Alzheimer's disease and impaired brain development.,Children aged 7-11 years old,1184
"""study""","""hazard assessment and risk mitigation strategy""","""GEO""| ""others""",1185
The study conducted by the authors aimed to determine the toxicity of fipronil and its,Fipronil and its degradates pose a risk to aquatic life| including several species of macroinvertebrates. The concentration of these chemicals in urban waterways is higher than the expected toxicity levels for some species| which could lead to adverse effects on their populations.,None,1186
Examining the impact of hotel CSR activities during the pandemic on hotel firms' market value and prospective customers' booking behavior.,COVID-19 pandemic| lack of understanding of hotel CSR activities among stakeholders.,Hotel firms| healthcare workers| customers.,1187
25 projects,None,None,1188
startup| entrepreneurship| small business| start-up phase| business network| management experience,survival| adverse influence| negative impact| previous management experience,entrepreneur| personal criteria| age| gender| belonging to a minority| financing sources,1189
None,None,None,1190
None,None,None,1191
None,None,None,1192
None,None,None,1193
implementation of IT governance in a non-profit healthcare organization,none detected,None,1194
Exploring farmers' preferences and factors affecting the adoption of silkworm insurance in Guilan Province of northern Iran (project).,Crop insurance is an important risk coping mechanism in agriculture (risk).,Providing useful policy insights on the development of silkworm insurance as a financial facet of a risk mit,1195
Bioclimatic architecture,Sustainability| building performance simulation| building climatology| energy use| solar energy applications| passive cooling| artificial intelligence| algorithm coupling| and acoustic comfort.,Building industry stakeholders| government agencies| corporate organisations.,1196
None,None,None,1197
design and implementation of a new driver circuit using half-bridge configuration| integration of additional inductor into transformer| reduction of switching loss through ZVS| optimization of air gap in transformer design.,high driving voltage| potential bias magnet in push-pull circuit| spikes in voltage across switches.,motor designer| manufacturer| user.,1198
Conservation of protected areas (PA) through local participation in management.,Wildfires| massive visitation| and insufficient environmental awareness.,Residents near Guadarrama NP| visitors to both NPs| and local communities.,1199
"Flood forecasting methods: ""The case study is a small catchment in Sao Paulo City named Jaguare Basin. This area was chosen due","Forecast accuracy: ""The main objective of this paper is to develop a methodology to produce flood forecasts risk maps for different urban catchments. To implement the quality of the forecasts a multi criteria analysis is proposed.""",None,1200
None,None,None,1201
investigation of the role of groundwater infiltration into damaged sewer pipes| simulation of groundwater levels and impact on the sewer network| and development of a risk map.,excessive FIB concentrations in waterways| potential pipe damage from groundwater infiltration| and high risk of failure in some parts of the sewer network.,US Environment,1202
None,None,None,1203
Evaluate the performance of coatings after natural and artificial weathering.,Carbonation of concrete structures| which can shorten their service life.,Coatings manufacturers| construction companies| building owners| and regulatory bodies involved in standardizing test methods and classification systems for coatings.,1204
Dynamic resource management problem can be analyzed from a strategic environment and social planner's perspective,Potential regime shifts can occur due to players' behavior.|Resource stock becoming scarce can lead to precautionary management of resources.|Irreversibility can impact equilibrium behavior.,None,1205
Architecture (specifically| the use of nanotechnology in architectural design),None,None,1206
Study to investigate ways to reduce irrigation water use in residential landscapes in Central Florida.,Water scarcity due to rapid growth in some areas of Florida.,Homeowners in Central Florida who desire high-quality landscapes but also want to conserve water.,1207
"Solar thermal systems integration: ""this study investigates the performance","Energy reduction goals: ""the energy use in the built environment shall be reduced by 41%...""|Economic impact: ""the economy in solar thermal collector installation projects is often spoiled by the fact that most of heating energy demand of the building occurs during periods when the available solar energy is low...""",None,1208
Study of methylation patterns in the microcrustacean Daphnia magna exposed to Microcystis aeruginosa.,Environmental stressors| toxic cyanobacterium Microcystis aeruginosa.,Daphnia magna (model organism)| researchers studying ecotoxicology and risk assessment.,1209
Determining how the construction of serial weirs influences the nutrient regime,Construction of serial weirs influences the nutrient regime| organic matter| solids deposition| water flow| and general water chemistry in a natural river during 2017-This could lead to water quality degradation and harm the river's lotic properties.,None,1210
Assessment of groundwater quality and irrigation suitability in Raebareli district| including sampling| laboratory analysis| and evaluation of different indices such as SAR| Wilcox diagram| Doneen,Nitrate and fluoride contamination (medium to high salinity hazard)| potential non-carcinogenic health hazards associated with excessive consumption of these contaminants.,None,1211
"Examination of the variation of the term ""landscape"" in Swedish comprehensive plans.","Use of the term ""landscape"" without clear definitions or connections to an explicit theoretical framework (e.g., ELC).",Discussion of the importance of arranging negotiations between parties concerned in the process regarding the local landscape and its associated values.,1212
deployment of an Adaptive Traffic Control System (ATCS).,None,traffic signal engineers and practitioners.,1213
"""case study""","""disadvantage or risk""","""Chinese female tertiary students""",1214
None,None,None,201
evaluation of practices of major stakeholders within the organization (emerging leaders| faculty| students) through surveys and assessments.,complexity| environmental pressures| organizational and cultural changes| transitions,major stakeholders within the organization (emerging leaders| faculty| students).,1216
None,None,None,1217
None,Geological hazards (e.g.| landslides| subsidence)| hydrogeological risks (e.g.| groundwater contamination)| and drainage basin characteristics that could pose a threat to the environment or human health. Examples,None,1218
None,none detected,Researchers and scientists involved in soil classification studies,1219
None,"High - The phrase ""large floodplain rivers"" implies a high risk of flooding| which could pose a threat to the surrounding ecosystem and communities.",None,1220
Disposal of the world's largest stockpile of hexachlorbenzene,Toxic organochlorine| hexachlorbenzene,Government| environmentalists| local community| corporate actors,1221
None,"Absorptive capacity: The ability to absorb and utilize external knowledge sources (e.g., academic literature, industry reports) to improve internal capabilities.|Desorptive capacity: The ability to release or transfer knowledge gained from external sources to others (e.g., suppliers, partners).",Suppliers: External parties providing goods or services to the focal buying,1222
None,None,None,1224
Investigating the effects of age| gender| and conformity tendency on Chinese pedestrians' intention to cross the road in potentially dangerous situations.,Crossing the road inconsistently with other pedestrians| which could lead to negative outcomes.,Pedestrians who show greater tendencies towards social conformity.,1225
Mapping the policy process to optimize HIA utilization,Not being used by decision-makers,Policy-makers,1226
Mitigating potential disruptions through a game-theoretic approach (dual sourcing strategy with stochastic supply disruptions),Disruption risks (vulnerability to disruption),Enterprises (development of modern enterprises),1227
studying the relationship between cognitive changes and financial decision-making capabilities among older Americans.,None,older adults who experience cognitive decline and their families or caregivers.,1228
None,None,None,1229
"Water management scenarios: potential investments required for meeting projected demand for water and sewage services, including estimates of operational and maintenance costs, revenue streams, and economic efficiency of the","Evaluation of partnerships: potential risks and challenges associated with different types of partnerships (e.g., lease purchase, temporary privatization, BOT, BOOT)",None,1230
Developing an emergency management perspective for policy makers to address the challenges of global climate change.,Climate change| global warming| natural disasters| emergencies,Policy makers| scientists| analysts| communities affected by climate change.,1231
Increasing the use of biomass residues for energy,Reducing carbon emissions and fossil-energy use| providing additional revenue for the forest sector| and reducing the risk of forest wildfires.,Society.,1232
MER (membrane electrochemical remediation),None,None,1233
None,None,None,1234
Decarbonization| low-carbon legislation| sustainable development| resilience measures| infrastructure investments| etc.,Climate politics| hurricanes| flooding| storm surges| sea level rise| etc.,Senior disaster officials| mayor's office| community groups| Occupy Sandy activists| etc.,1235
Climate,Droughts| floods| extreme El Nino events,None,1236
Developed didactic iconographic models on the historical and heritage dimension of cities.,None,None,1237
Corrosion propagation| particularly where induced by chlorides,Reinforcement corrosion,Researchers who study corrosion in concrete,1238
Large-scale collaborative action research project reported here. (Additional factor limiting students' access to more contemporary views about and realistic experiences with science),Compromised students' development of realistic conceptions about science and expertise for doing science. (Shadowy images),Government curriculum policy-which promotes highly idealized portrayals of and regulated experiences,1239
None,None,None,1240
None,None,None,1241
evaluation of the effects of rail tunnel characteristics on the likelihood of passenger survival in case of a fire. Calculation of heat and toxic gas concentrations inside a tunnel due to a fire of different characteristics. Identification of,heat| toxic gases| fire event characteristics| number of available safety walkways| train offered capacity| and escape capabilities of people.,None,1242
installation and operation of a combined heat and power (CHP) system at a major hotel in San Francisco| CA.,None,hotel management and employees| as well as the manufacturers and suppliers of the CHP system components.,1243
influencing society and decision-makers to fulfill forest owners' interests,none detected,forestry association,1244
None,None,None,1245
None,Cadmium (Cd) contamination,None,1246
weather routing problem| route optimization method,wave or wind disturbances| parametric rolling,ship owners| operators| passengers| crew members,1247
None,None,Authors,1248
Implementation of SDGs by firms in developing countries,Paucity of research regarding the application of SDGs at the firm level,"Policy makers in host countries, NGOs, and communities influencing the prioritization of certain SDGs by firms.",1249
None,Potential benefits of reforestation to support state's air quality improvement efforts,Federal and state authorities,1250
Management of rivers for navigation| hydropower| and flood risk reduction| engineering river management structures| monitoring of river and floodplain aquifers.,Installation of in-channel structures| groundwater flow within hydraulically-connected riparian floodplain aquifers| raised groundwater levels in the adjacent aquifer| complex groundwater flow patterns.,Private and public water supplies,1251
None,None,None,1252
Analyzing the security factors of urban rail transit and identifying hazards.,Identification and evaluation of urban rail transit operating hazards can prevent accidents and minimize damages caused by accidents.,"Urban rail transit operators, passengers, and government agencies involved in regulating and overseeing transportation safety.",1253
radical transformations of tourism education| including curriculum| program offering| pedagogy| and learning environment.,none detected,educators| students| institutions| industry professionals| and technology providers.,1254
"Building Renovation: ""building renovation""","Time: ""excesses of time""|Cost: ""cost are common""","Construction Industry: ""construction sector""|Key Stakeholders: ""key stakeholders of the construction process""",1255
Urban landscaping projects,Limited information on seed germination performances| which could lead to poor seedling quality or failure to grow.,Nurseries| gardening enthusiasts| environmental conservationists.,1256
Experimental program: One-way slabs made of LWFC with different combinations of reinforcement and thickness.,Material properties: Low density and sufficient compressive strength suitable for structural purpose.,Construction industry professionals interested in investigating the mechanical behavior of reinforced concrete slabs.,1257
Extended streamflow forecasting,Early flood warning and risk mitigation under a changing climate,Developers of computational models for streamflow forecasting,1258
Block 185 tower (newest addition to Austin's growing skyline and fourth tallest tower in the city),excavation extending 45 ft below the groundwater table through highly variable geologic stratifications (loose sands to weak shales to highly competent limestone),engineering and construction challenges| solutions| and lessons learned on this,1259
Identifying priority environmental health conditions and developing recommendations for a national environmental public health tracking network.,Respiratory diseases (asthma and chronic respiratory diseases) and neurologic diseases (chronic neurodegenerative diseases such as multiple sclerosis).,Public health and environmental practitioners| as well as individuals and communities potentially affected by environmental,1260
carrying out a comprehensive risk assessment of automotive cybersecurity,privacy breaches| personal injuries| national security issues,individuals (e.g.| drivers)| organizations (e.g.| car manufacturers)| government agencies (e.g.| regulatory bodies),1261
residential community project involving the construction of deep foundation pit works.,None,None,1262
None,Salinity flux from geothermal systems could account for 22% of the typical average annual cumulative Rio Grande salinity that leaves the basin each year.,International water supplies in this developed drought-stricken region.,1263
Eradicating rodents from islands through the development and implementation of new tools and techniques.,Potential risks associated with using certain tools and techniques| such as the impact on non-target species or the introduction of new diseases.,Communities living on islands who may be impacted by rodent eradication efforts.,1264
modifying the existing Bank Stability and Toe Erosion Model (BSTEM)| investigating the impact of multiple factors typical of flood and dry seasons on the collapse rate| completing future projects of river adaptation and river restoration.,bank collapse| social problems| economic problems| environmental problems,local areas| downstream locations| field data recorded at six gauging stations (,1265
decomposition of modeling (and design) process into loosely independent pieces,None,Hewlett-Packard,1266
None,None,None,1267
None,None,None,1268
Lake restoration project aiming to raise the lake water by 0.5-1 m.,none detected,infralittoral zone| pelagic zone| and the lake itself.,1269
None,None,None,1270
MODIS Land Surface Temperature (LST) data set developed within the Land Surface Temperature Climate Change Initiative (CCI) project (LST_cci).,None,European Space Agency.,1271
Participatory natural resources management decision-making processes| creation of consensus recommendations for oyster management in the Choptank River Complex| Maryland| USA.,Uncertainty| different sources of knowledge| concern.,Scientists| stakeholders| gatekeepers| ways of knowing.,1273
Nature protection,Deterioration prevention| environmental remediation actions| environmental reconstruction,Children| parents| educators| government agencies| international organizations,1274
Assessment of landslide geological disasters through remote sensing and GIS,Possibility of geological disasters (directly or indirectly),Local infrastructure construction,1275
working on a self-selected project team during class.,answering questions incorrectly could lead to losing points for the day.,students themselves| as they have a personal interest in preparing for class and completing assignments successfully.,1276
Developing new practical models,Variations in cash flows,Researchers,1277
developing a means of identifying risky driving maneuvers among novice teen drivers| providing parents with a tool to reduce their crash propensity| and enhancing the continued learning process through an event- triggered video device.,high risk for car crashes| especially during the first years of licensure,teen drivers| parents| and the researchers involved in the study,1278
studying the global seismic response of slender masonry towers using a specific 3-D fiber model| accounting for the particular behavior of such structures.,vulnerability| hazard| damage indicators| peak ground velocity| significant duration,investigation of different parameters relating to the ground acceleration recordings|,1279
None,None,None,1280
"""Room for the River"" (a Dutch spatial planning procedure)","""competing claims on natural resources"" (the possibility of conflicting demands on limited natural resources)","""policy-makers and other stakeholders"" (groups involved in the negotiation process| including policymakers and other interested parties)",1281
Urban poverty undertaken jointly by the United Nations Development Programme and the Government of India in 2006-2007 (a specific initiative or program),Non-affordability of basic facilities,Slum dwellers (people living in slums)| government (provision of basic facilities and housing improvement programs),1282
Wastewater treatment and reuse,None,Respondents in the survey who were interviewed and observed (n=327)| including individuals who provided information on their knowledge and attitudes towards wastewater treatment and reuse.,1283
Automatic system for bacteria colony counting,None,None,1284
Restored depressions of the southeastern United States Coastal Plain by completely removing woody vegetation and plugging surface ditches.,Drained depressional wetlands,Planting selected species could supplement passive restoration by promoting a vegetative structure closer to that of natural wetlands.,1285
Conservation of Taxus wallichiana through sustainable adaptation pathways to conserve the surviving populations of the species.,Over-exploitation of the species due to its commercial value| leading to regional extinction. Enhanced threats of climate change impacts reducing its present climatic niche.,Immediate conservation of geographic areas providing potential refuge to the species under adverse,1286
substance flow analysis| life cycle perspective| risk reduction strategies,site-specific risk assessment| health risk| cancer risk,populations exposed to arsenic| industries releasing arsenic into the environment,1287
The establishment of the Pecem industrial and port complex (CIPP) aimed to support economic development in the region. However| the implementation of,Economic development in the state of Ceara| in northeastern Brazil| faces challenges such as population growth without accompanying policies promoting sustainable growth.,None,1288
evaluating the reliability and validity of wearable sensing technology for monitoring physical fatigue during construction tasks,fatigue-related injury| advanced age| poor health| job nature,workers at risk of sustaining fatigue-related injury (bar benders),1289
NPD (new product development) projects,termination of unsuccessful NPD projects,firms (organizations),1290
Undoing deeply ingrained legacies of urban segregation and fragmentation through vibrant city politics| a substantial epistemic community| and sufficient investment capital.,Fragmentation| violence| AIDS epidemic,Epistemic community in cities generating imaginative ideas about alternative futures| and private and,1291
Implementation of big data technologies (Apache Hadoop Foundation)| development of big data applications (fraud detection| customer sensitivity analysis| new product offerings)| delivery of business value and long-term benefits.,Data privacy concerns| security threats| potential loss of control over sensitive information.,Business leaders and managers who want to ensure that big data projects deliver true value,1292
detection| observation| measurement| simulation,atmosphere| greenhouse gases| air pollution,people| communities| governments| scientists,1293
None,None,None,1294
construction projects| larger| diversified| optimization| model| study| case| evaluation| analysis| results| expansion| areas.,difficulty| consideration| decision| final,None,1295
geomembrane application in dam rehabilitation| Roller Compacted Concrete dam construction,dam failure| leaks| waterproofing issues,engineers| contractors| dam owners/operators,1296
analysis of solar hot water use in domestic settings in three Chinese cities (Shanghai| Hangzhou| Guilin),none detected,None,1297
"""automatic emissions permit trading system""","""trading risk""","""transportation firms""",1298
investigating when the turning point in China's CO2 emissions would occur,increasing international concern,China's economy,1299
None,None,None,1300
National government commitment to improving surface water quality through an action plan| urbanization and wastewater treatment connection rates in rural and urban areas| population distribution and surface water discharge flow rates.,Water pollution| chemical concentration in surface water| triclosan levels,Organizations such as the Organisation for Economic Co-operation and Development (OECD)| Intergovernmental Panel,1301
None,none detected,None,1302
Developing a feasibility analysis and concept plan for a PGS| supporting city officials and downtown stakeholders| setting aside funding for design and implementation| and deploying the system.,Downtown San Jose's growth| real-time parking management| and implementation of a Parking Guidance System (PGS).,City officials and downtown stakehold,1303
Land reclamation| Tong'an Bay| Xiamen| China.,Economic valuation| ecosystem damages| environmental policy making| land reclamation| total ecosystem loss estimates.,Environmental policy makers| ecosystem service providers| local communities.,1304
None,Damage and loss of lives caused by Super Typhoon Haiyan in,None,2013
"Examining the special case of Coron, Palawan: a major tourist destination that is rarely hit by storms but became the site of Haiyan's last landfall",None,Local government officials and representatives of two communities (with pseudonym,1305
None,None,None,1306
E-waste recycling. The review focuses on providing a comprehensive overview of e-waste problem,Heavy metals (Hg| Cd| Pb| etc.)| brominated flame retardants (BFRs)| and other potentially harmful substances in e-waste. These substances can pose significant human and environmental health risks if improperly managed.,None,1307
None,Women in the field of computing face obstacles such as limited opportunities for advancement and gender bias in job performance evaluations.,Females,1308
Low-carbon investment| energy firms' investments| emission trading schemes (ETS)| carbon pricing,Price floor| carbon prices| investment decisions,High-level managers in 113 German energy and industry companies,1309
carbon capture and storage (CCS) project,None,researchers studying the interaction between CO2 and cement under downhole conditions.,1310
none,,None,1311
None,None,None,1312
Conclusion: The development and validation of an instrument to measure injury risks in low-income households.,Poisonings|Burns|Falls,National Safety Council and Elsevier Ltd.,1313
Northland project (2004-2014)| current debate| future of mining,Mine development| forgotten contexts| market dependency| volatility,Interviewees| written narratives| current and future generations| surrounding communities,1314
None,None,None,1315
eco-innovation in the corporate environment,none detected,None,1316
Solar initiatives of utilities,Low- and middle-income (LMI) consumers' accessibility to clean energy| specifically through community solar projects (CSP) or rooftop solar installations| is shaped by policy and complementary factors such as ownership models| income disparity| regulatory regime| and a combination of these factors.,Utilities|,1317
Developing integrated targets for food| energy| water| and ecosystem services goals.,Environmental changes threatening long-term prosperity and poverty eradication goals.,The United Nations (UN)| researchers| policymakers| and other individuals involved in implementing the Sustainable Development Goals (SDGs).,1318
increasing air traffic management systems' capacity| developing a new approach for measuring air traffic situation complexity| exploring potential applications of the new index.,flight delays| increased air traffic| complexities in air traffic management systems.,air traffic controllers| aviation authorities| passengers| airlines.,1319
Domestic Consumption: Around 970 kt of tungsten is domestically consumed.,Exported: 750 kt of tungsten has been exported to other countries.,Recycled: Approximate to 130 kt has been recycled as end-of-life scrap.,1320
None,none detected,None,1321
car ownership and use in three large Asian economies in,None,None,2020
None,increment of oil demand due to increased car ownership and use| which could potentially lead to oil shock and collapse of the transportation system if left unchecked.,governments and localities dealing with transport problems to ensure sustainable development and affordability of motor vehicles.,1322
Assessing the resilience of megacities,None,None,1323
Early stages of a software development project| determining the most significant explanatory variables among the 16 COCOMO cost drivers,Estimating the amount of effort (in the early stages of a software development project)| neural networks with back-propagation learning algorithms combined with genetic algorithms (GA-NN) to determine the most significant explanatory variables among the 16 COCOMO cost drivers.,None,1324
Construction engineering| design-build (DB)| design-bid-build (DBB),Achievement of performance goals| sustainable construction project management (SCPM),Owners| contractors| construction enterprises,1325
analysis| modeling| trends| spatiotemporal| Bayesian| MCMC| simulation,earthquakes| maximum intensity| magnitude| risk,people living in the study area| researchers| scientists| policymakers| government agencies| communities affected by earthquakes,1326
Assessment of the potential effect of heavy metals and environmental variables on the CO2 assimilation (A) and the stomatal conductance (g(s)) of Ligustrum lucidum| a common urban tree in Mexico City.,Heavy metals (Pb| Cd| Cr| Cu| Mn| Fe| and Zn),The species itself (L,1327
INCASS (Inspection Capabilities for Enhanced Ship Safety) project,structural and machinery risk analysis (SRA and MRA),INCASS consortium| ship owners| operators| and regulatory bodies.,1328
carbon stocks,deforestation and reduced emissions through reduced deforestation,communities adapted to greater inundation such as seagrass communities,1329
Research and Development Outcomes,Patents/Copyrights Obtained| Articles Published/Presented| Product/Process Improvements,Individuals| Gender| Type of Industry,1330
Conducted coupling field and laboratory analysis,Evaluation,None,1331
Dam projects,earthquakes| settlement| piping| high pore water pressure| soil liquefaction,dam owners| engineers| scientists| government agencies,1332
None,None,None,1333
None,Fraudulent or misleading information.,Researchers and practitioners in the field of numerical analysis and scientific computing.,1334
"Various methods have been studied and reported for arsenic remediation from groundwater, including oxidation, coagulation-flocculation, adsorption, biological sorption, ion-exchange, membrane processes","Arsenic contamination of groundwater is considered a global problem, affecting over 296 million people in 100+ countries.",None,1335
"""two-year project""","""rutting potential""| ""gradation variability""","""representatives from research agencies""| ""client bodies""| ""industry""",1336
integrated hydro-meterological system| rainfall forecast| hydrological model| flood risk assessment,flood risk| moderate to steep terrain| hydro-meterological system,None,1337
None,None,None,1338
None,None,None,1339
None,None,None,1340
Tourism destination development project,Environmental degradation| economic instability| social cultural issues| and institutional challenges.,Community members| local government| tourists| and relevant NGOs.,1341
Vegetation density| area of vegetation projected onto a plane perpendicular to the flow direction| performance comparison| standard method.,Flow resistance| vegetation density| accuracy| efficiency| field measurements| hydraulic investigations.,Researchers| scientists| academics| experts in the field of hydraulics and vegetation studies.,1342
Estimation techniques for recharge fluxes in arid regions.,Uncertainty in tracer approaches due to multimodal flow in the vadose zone.,Practitioners who need at-point information for water resource development projects.,1343
"""investigated the transmission of COVID-19 by cough-induced particles in a cabin section of Boeing 737 model.""","""exposure risks""","""passengers""",1344
technoscientific knowledge project| seismicity research| CIRES headquarters,earthquakes| seismicity| monitoring,CIRES engineers and technicians| Mexican government| territorial politics,1345
Incorporating bioaccessibility into human health risk assessment,Reducing the conservative properties of conventional results through the use of bioaccessibility.,None,1346
Battery Tunnels of Doyle Drive Replacement Project in San Francisco,tunnel racking| SEE earthquakes,Itasca (FLAC software version)| San Franciscans (residents and commuters who will be affected by the tunnels),1347
Determining critical characteristics of hazards| establishing network of networks (NoN)| focusing on critical hazards and characteristics for improving efficiency of hazard identification.,Critical characteristics of hazards| correlation strength| network index,Text mining| co-occurrence matrix calculation| characteristic hierarchy clustering| consideration of correlation strength and network index.,1348
Formulation of the dual-toll problem as a bi-level program| decomposition of the formulation into first-stage and second-stage problems| and provision of heuristic algorithms for solving the truly bilevel problem.,Mitigation of risk of hazardous material (hazmat) shipment in road networks.,Regulator| users| and ha,1349
Intensification of agricultural production (meeting increased food demand within current agricultural lands| generating surplus land for bioenergy crops)| improved cattle production| and additional energy crop production.,Land conversion (loss of biodiversity| increased water consumption).,Integrated planning of land use (targeted investments in the agricultural sector and integrated planning of land use).,1350
