Project;Risk;Stakeholder;idx
Experiential learning project;None;Students| companies| supervisors;518
Wind turbine deployment;None;Residents;519
NPD project portfolio;Sustainability;None;520
Sustainable tunnel development (5 words);Heavy impact on environment (4 words);Tunnel practitioners in Netherlands (4 words);521
Forestry CDM projects in rural areas;Environmental degradation;Local residents| farmers| environmental groups;522
East Side Coastal Resiliency;Uncertainty;Local residents;523
Land use planning;Development;Regional planners;524
Water resource management;Multiple and significant| including financial and non-financial risks.;Community affected by the water projects| as well as decision-makers and environmental experts involved in the analysis.;525
Construction projects in Romania (4 words);Technical difficulties (3 words);Construction team members (4 words);526
PX plant construction;Environmental impact;Public| government agencies;527
None;Environmental degradation;Local communities and government agencies;528
Offshore wind farm;None;Community;529
Reconstruction;Transportation;Local community;530
Solar power project site selection in Pakistan;Suitable sites identified;Government| energy planners| and policymakers;531
JFG;none;suppliers;532
Large-scale water diversion project;Opportunistic behavior (contractors);Contractors and project owner;533
Urban rail transit (URT);Operation risk (OR);Public| government| private companies;534
STEM project;N/A;Students;535
Goal;Increased;Pressure;536
Power plant project;Air pollution;Public;537
Management projects;Biodiversity loss;Conservation agency;538
Irrigation Investments (42%);Construction Pressure (0.2%);Environmental Health (8.8%);539
Great Koala Count (GKC);None;Participants;540
Remediation;Contamination;Local community| government agencies;541
Hydropower construction;Environmental damage;Community members| policymakers;542
PPP project;Financial risks;Private sector;543
Community-driven environmental research program.;Environmental pollutants exposure during data collection.;Local residents| urban youth| environmental advocacy groups.;544
Local-level initiatives;Coastal degradation;Community participation;600
construction project;risks (as requested);None;601
Stream restoration program;Environmental degradation;Community;602
WTE incineration project;Construction cost overruns;Public sector| private investors;603
Climate change impact study;Food security threats from climate change;Local communities| farmers| indigenous peoples;604
Large dam project implementation.;Hydroelectric power plant construction risks.;Local communities affected by damming.;605
Construction project;Cost overruns;Contractor;606
Pilot projects (trialing potential solutions);Implementation (difficulty implementing pilot projects);Fishing industry (leaders and participants involved in the projects);607
River restoration;Lack of power (definitive stakeholders);Local residents;608
ERP system implementation project;High failure rate due to complexity and scope.;Organizational leadership and IT team.;609
Greenfield natural resource project;Insufficient data for accurate measurement;Policy analysts and environmental advocacy groups;610
Hydropower projects;Impact;Environmental disruption;612
PPP;Construction;Engineers;613
Water resource management;Environmental damage;Local communities;614
Dredging project;Conflict;Community;615
Coastal project;Environmental degradation;Local communities;616
Yes;None;Organizations;617
Land reclamation project;Environmental degradation;Local communities and government agencies involved in the reclamation process;618
water supply project (4 words);inconsistent usage (4 words);implementers (4 words);619
Hydropower projects in Southeast Asia;Investment;Chinese enterprises;620
Sabine-to-Galveston Coastal Storm Risk Management (CSRM) Project;Damage from storm events;US Army Corps of Engineers Galveston District (SWG)| local communities along the Texas coast;621
megaprojects in KSA;construction delays;developers & contractors;622
Construction;High;Nuclear Power Plant;623
Building construction in Egypt.;Construction-related pollution hazards.;Environmental regulatory agencies| local residents| construction workers.;624
Solar Home Systems (SHS) project;Financial sustainability| complexity| failure;Small NGOs| potential consumers| private sector service providers| project managers;625
$1 billion redev project;Contamination delays project timeline;Developers| financiers| regulators;626
Transdisciplinary variant of PjBL for engineering students;Resource-intensive nature of PjBL;Multidisciplinary complex engineering problem;627
Large-scale infrastructure project;Environmental damage;Local community;629
Water reclamation and reuse project;None;Wastewater utility;630
Construction;Safety;Management;631
San Francisco Estuary Project;Environmental management plan;Local policy leaders;632
Mineral exploration;Environmental impact;Communities| government agencies;634
Development of eco-industrial parks;Waste management issues;Public authorities| waste management companies| environmental scientists;635
Cleaner production demonstration city;Environmental pollution;Local residents| government agencies;636
CDM projects;Technological transfer;Developing countries;637
Infrastructure projects;Environmental & societal concerns;Broad public;638
Wind power industry in Australia;Regulatory uncertainty and credit crunch;Electricity retailers| investors| and government agencies;639
Electrification of rural mountainous villages using small hydro power.;Financial constraints| institutional constraints| and environmental impacts.;Local communities| project developers| government agencies| international organizations.;640
Solar radiation projects in Croatia;Problems with voltage quality and solar contribution;Energy independence advocates in Croatia;641
Highway construction;Development;Government agencies| environmental groups;642
White Rose;Harsh environment;Husky Energy;643
MRSNWDP;III-IV;Engineers| operators| government agencies;644
TDR (Transdisciplinary Research);Local political conditions;Personal network of project leaders;645
Extractive projects;Infrastructure development;Communities;646
Construction project;Labor productivity| payment delays| work environment| weather conditions;Industry professionals| contractors| clients| suppliers;647
Restoration;Environmental degradation;Local communities;648
Tidal wetland restoration projects;Lack of standardized methods and reference sites;Scientists and restoration practitioners;649
Beach nourishment practices.;Climate change impacts beaches.;Coastal communities.;650
Stream restoration project;Construction delays;Local communities;651
Congestion Mitigation Strategies;None;Air Quality Analyst;652
PESETA Integrated Assessment (5 words);Climate change impacts (5 words);Multi-disciplinary team (4 words);653
Overseas E&P projects;Economic feasibility;Public;654
Large-scale construction projects in Iran (4 words);Safety and health risks in construction sites (4 words);Employees of large-scale construction projects (3 words);655
delivery;development;project manager;656
Mid-line project;None;Water resource management authorities;657
UNIQUAIMS;EU funding;Developing countries;658
Biogas power generation system;Environmental damage;Farmers| investors;659
Construction project management;Technical errors| delays| cost overruns;Project manager| contractors| homeowner;660
Darlington NPP;Thyroid cancer;Population nearby;661
PPP project;Opportunism;Government| investors;662
EbA projects;Loss of assets due to extreme events;Coastal communities;663
Industrial park recycling transformation;Obsolescence of traditional industries;Government and enterprises;664
construction;corruption;developers;665
Delayed project completion;Engineering failures;Korean oil and gas companies;666
AquaTerra;Environmental pollution;Partner organizations| local communities| government agencies;667
Design project;None;Students;668
Irrigation infrastructure improvement;Water scarcity;Farmers| government agencies;669
Smart City project;Compromise citizen involvement;Citizens;670
Green Corridor (GC) mega-project;None;City officials| residents| environmental groups;671
Transdisciplinary research;Literature review challenge;Individual researchers;672
ecmoD;none;university| students| faculty;673
Environmental projects;Management;Practitioners;674
Data Collection Project;Insufficient Representativeness;Researchers and Scientists;675
Connection project;None;Local communities| environmental groups;676
Citizen Science Projects;None;Contributors;677
A demonstration project aimed at proving and validating process designs for oxy-fuel combustion on OTSG boilers.;Dependence on external factors such as weather conditions| availability of feedstock| and regulatory frameworks could affect the success of the project.;The project involves several organizations| including Praxair| Devon;678
Closed reconstruction project of Shengli Power Plant.;Dustfall reconstruction project risks.;Sinopec Shengli Petroleum Administration.;679
Collaborative plant breeding project;Time frame for results;Farmers and researchers;680
Coastal city development;Climate change impacts;Decision makers;681
Water diversion project;None;Environmental protection agency;682
power plant projects;development;environmental authority;683
Geomorphologically and ecologically informed river restoration initiatives.;Damage to ecosystems due to inadequate restoration methods.;Scientists| environmental organizations| government agencies| local communities.;684
Improvement of regulatory framework;None;Buyers| Sellers| Industry Players;685
Geothermal Energy Project;Uncertainty;Developers;686
Construction projects;Social and environmental problems;Multiple internal and external groups;687
Supporting;None;IAEA| participating countries;688
Sustainable construction project;Cooperative relationship;Owner and contractor;689
Stream management and restoration projects;Natural resource damage;US government agencies;690
Eco-Urban Project;None;Students;691
CRPs;none;all;692
education;learning;students;693
Beach renourishment;Shorebird habitat loss;Environmental groups| local government| residents;694
Land reclamation project implementation process in Hebei Province.;Insufficient funds| inadequate security| lack of advanced technology| poor information management.;Government agencies| financial institutions| reclamation contractors| local communities.;695
NO.V.A. Project;None;Users;696
yes;none;both;697
Megaprojects;Cost overruns| accidents| corruption;Multiple parties;698
Melamchi Water Supply Project (MWSP);Water scarcity;Local communities| government agencies| environmental groups;699
Yangtze-to-Huaihe Water Diversion Project (YHWD);Habitat loss and fragmentation;Birds| waterbirds| environmentalists| conservationists;700
ICDP (Integrated Conservation and Development Project);Habitat destruction;Local communities;701
Trade-offs in Nature's Contributions to People (TNP);None;Local communities;702
None;Investigation (related to the study);Local Residents (involved in the implementation of the project);703
EIP pilot projects;None;Industry players| policymakers;704
Adaptation projects;Sea level rise;Coastal communities;705
Chemical industrial park development;Environmental pollution;Citizens| government agencies;706
pipeline construction project;environmental impact| species habitat disruption;Great Lakes Gas Transmission Limited Partnership| local communities| wildlife conservation groups;707
River restoration project;Construction phase emissions;Environmental groups| local communities;708
Forestry projects;Environmental damage;Developing countries;709
PPP/PFI projects in Malaysia;Delay| cost overruns| poor procurement processes;Government agencies| private companies| citizens;710
Care robots project;Minor risks associated with implementing new technology;Home care workers| care providers| patients| families| healthcare professionals| policymakers;711
Coal to Electricity (CtE);None;Residents of North China| Government of China;712
Continued growth in HFC-23 emissions despite Montreal Protocol phase-out.;Emissions growth due to lack of abatement measures.;Governments| environmental organizations| and industries involved in HCFC-22 and HFC-23 production and disposal.;713
Pure Air's Advanced Flue Gas Desulfurization (AFGD) Clean Coal Project;None;Pure Air of Allentown| Pennsylvania;714
Hydropower development (4 words);International inconsistencies (4 words);Contractors (3 words);715
Large-scale projects;Social and environmental impacts;Workers and communities;716
Sustainable development;Fragmentation;Professional bodies and early adopters of sustainable project practices;717
Jatropha plantations in Malawi and Mozambique (3 words);Uncertainty about long-term sustainability (2 words);Smallholder farmers and national fuel security (4 words);718
Water reclamation plant;Flow rate scenario;Industrial park developers;719
Deep Waterway Project;Navigation hazard;Environmental groups| local communities| government agencies;720
Healthy Planning Policies;None;Local Government Practitioners;721
Design education;Challenges in implementation;International collaboration;722
Transportation projects in San Francisco Bay Area;Environmental impacts;Local authorities and environmental groups;723
Restoration project;None;Public| environmental organizations;724
crowdfunding research;none;environmental entrepreneurs;725
Area-wide water recycling project in Shinjuku district;None;Tokyo Metropolitan Government;726
Sustainable City Project;Economic and Ethical Conflicts;Urban Planners and Policymakers;727
Urban areas;Climate change;Communities;728
Bush Clearing and Restoration Project;None;Local Community| Tourists;729
Offshore engineering| procurement| and construction (EPC) projects;Cost and schedule overruns| engineering risks;EPC contractors| project owners| engineers| construction companies;730
infrastructure projects;cost flow behavior| root risks;infrastructure contractors| project owners;731
Yes;None;Yes;732
Gebrookerbos;None;Citizens;733
Training Sustainable Development Planning;None;Students and Staff;734
Energy Conservation and Carbon Emission Reduction Potential;Negligible;Host Countries;735
Electric power sector restructuring;None;Regulators| decision-makers| private investors;736
Irrigation project;Environmental impact;Local communities and ecosystems affected by the project;737
Water diversion;Negative;Local communities;738
Water supply management;Sustainability;Local communities;739
Port Public-Private Partnership (PPP) projects;Social risk decision-making behavior;Social capital entities;740
REDD+;Uncertainty in emission reduction estimates;Investors;741
Best Ray Project;None;Rural communities;742
New Jersey Comparative Risk Project (NJCRP);Environmental threats (land use change| etc.);Public officials| technical experts| general public;743
Project Feeder Watch (4 words);Data quality issues (3 words);Researchers and participants (5 words);744
Environmentally-oriented crowdfunding projects;Implementation gap between campaign promises and reality;Funders| environmentally-oriented ventures| platform owners;745
ETH-UNS Case Study Responsible Soil Use in the German-Swiss Area;None;Scientists| farmers| policymakers;746
Yes;None;Sabina;747
Yes;None;Researchers;748
Study on changing AR frequencies and precipitation.;Increased drought risk in some areas.;Scientists| policymakers| water managers.;749
Deep geothermal energy development;Geothermal seismicity;Public;750
;;;751
Large projects;Uncertainty;Decision makers;752
Construction and operation of SKS complex;Development;Local residents| government agencies| environmental groups;753
Reducing F-gas emissions;Emissions reduction;UNFCCC;754
Fish passage;Flow velocity;USACE;755
Resource efficiency investment project;None;Firms| governments| investors;756
Ocean circulation changes;Impact on marine life;Scientists studying oceanography;757
Bridge construction;None;Ministry of Transport;758
satellite development;technical and financial constraints;Suparco| foreign countries| regional organizations;759
Urban regeneration;Delay;Local governments;760
Watermed;Drought;Scientists;761
Citizen Science;Conservation;Volunteers;762
Biogas project;Construction stage emissions;Households| farmers| energy companies;763
Community-led conservation;Environmental damage;Local residents;764
green construction project;environmental impact;construction industry players (e.g.| contractors| architects| engineers);765
South-to-North Water Diversion Project (SNWDP);Floodwater resources utilization;Engineers| scientists| policymakers involved in flood management;780
LEEDCo;regulatory constraints;committed project advocates;781
green project partnership;none;organizations in the supply chain;782
CCP;none;energy co.| govts.| tech dev.;783
Sewer Network Upgrade;Affordable cost;Decision Makers;784
Distributed projects;Implementation cost;Electricity consumers;785
Developing sustainability competencies;None;Preservice chemistry teachers;786
Grassy Mountain Coal Project;Destruction of habitat;Environmental groups| local communities| government agencies;787
Middle Route Water Diversion Project;Environmental damage from excessive fertilizer and pesticide use;Local communities and environmental groups;788
Restoration project;Community resistance;Local residents;789
Water Management Services;None;Qualified Personnel;790
Yes;None;Electric utilities;791
Reconstruction of Uvas Creek;Washout during heavy rainfall;Local residents| environmental groups| government agencies;792
building renovation;construction delays;owner| contractor;793
Urban Green Space Systems Review (UGSR);None;Interdisciplinary team (planners| ecologists| policymakers);794
Environmental management system;Data privacy breach;Researchers;795
yes;none;clubs;796
Urban regeneration;None;Community;797
Research-for-Development Projects;None;Scientific Community;798
Virginia Pipeline;None;Partnership;799
Nicaragua Land Resources (Fire) Monitoring Project;Environmental monitoring and management risks;Ministry of Environment and Natural Resources (MARENA);800
Renewable Energy Projects;Financial Support;Countries;801
management;implementation;employers;802
Urban renewal;Development;Government;803
China;None;Foreign technology providers;804
Energy production facility development project;Environmental impact| construction delays| cost overruns;Contractors| environmental regulators| local communities;805
None;None;Government agencies;806
Mulgrave capture project;None;CO2CRC and partners;807
None;construction industry waste management;construction companies and their employees involved in waste management;808
Deep geothermal project;Geothermal energy;Public;809
Assessing COVID-19 impact (5 words);Pandemic disruption (5 words);Project leaders (5 words);810
Urban transformation project;None;Residents of Zagnos Valley;811
railway construction investments;various| including environmental impact| cost overruns| political instability| etc.;government agencies| private companies| local communities| environmental groups| etc.;812
Shell CO2 Storage B.V. (SCS);Negligible;SCS| regulatory bodies;813
Oyster reef restoration program;N/A;Environmentalists;814
Yes;None;Yes;815
None;none;communities;816
Yes;None;Many;817
Joint Implementation Project;Additionality Question;Economists;818
WIRE;None;Community;819
Yes;None;Utility company;820
Uranium Mill Tailings Remedial Action Project;environmental contamination;communities near former uranium mines;821
Railroad project in South Sweden (Hallandsasen);Uncertainty;Engineers| geologists;822
BCSPL (Block Compressed Sensing with Projected Landweber);None;Researchers| Developers;823
None;Construction delays or cost overruns.;Port operators| contractors| investors.;824
CDM projects;None;Local communities;825
construction project;none;construction site engineers;840
Water ecological civilized city construction;Financial| reputational| environmental;Commercial banks| investors| government agencies;841
Biodiversity-conservation initiatives;High;Buyers| sellers| government agencies| environmental groups| local communities;842
Urban renovation project;None;City government| property owners;843
Hydropower project in India;Development;Society;844
Construction management;Safety hazards;Workers| clients;845
STEM projects in southern Chile;None;Local actors and organizations;846
conservation project;environmental degradation;local communities;847
Five large-scale projects;None;Users;848
Protected area conservation;Threatened biodiversity;Government| NGOs| local communities;849
None;Depletion of fish resources;Fishing communities and government;850
infrastructure construction and financing;limited research in field;investors| regulators| infrastructure developers;851
Yes;None;Environmental agencies;852
NACWEMP;None;BECC;853
TECHREC;N/A (no explicit mention of risks);European Commission (as the project is funded and coordinated by them);854
Construction of environmental species analysis (sustainable development);Environmental pollution;Construction industry professionals| government agencies| environmental organizations;855
Middle Route of South-to-North Water Transfer Project;Technical feasibility;Engineers and planners involved in the project;856
Key water conservancy initiatives;Grave environmental impact;Local communities;857
Degrowth movement;Insufficient support;Broad population;858
Large-scale hydropower development;Habitat destruction;Local communities and environmental groups;859
Education;None;Academic departments;860
Evaluation;None;Organizations;861
ARGO;Natural and anthropogenic;AMRA;862
Resolve research project;Soil erosion;Vineyard owners| winegrowers| environmentalists;863
Hongding building project;Environmental impact;Construction industry professionals;864
Detailed Conception of Coastal Strip Spatial Arrangements;None;Local communities| government agencies| environmental groups;865
Britannia Beach Sustainable Development Project;None;Community;866
Construction projects;Various and many risks;Practitioners;867
Water infrastructure development;Environmental damage;Communities| organizations;868
European Social Work Education Project;None;Students;869
J-PARC;None;Scientific community;870
green building project;development;local government;871
Future hydrological changes;Drought consequences;Natural| human systems;872
Cultural animation project;None;Local community;873
WEEEExtension;None;ODOT| City of Eugene| US ACOE;874
Hydropower plant;Negative impact on investment;Local communities| environment groups| government agencies;875
Renovation Project;None;Design Team;876
Ethylene plant;Pollution;Local community;877
Distribution reform;None;Power grid enterprises;878
Offshore wind power development;Environmental impacts;Residents living nearby;879
Energy investment projects;Environmental damage;Industry professionals;880
Energy-efficient CDM projects;None;Buyers of Certified Emission Reductions (CERs);881
CDM;Baseline manipulation;Regulator| project hosts;882
Simulations of ocean physical properties in the Gulf of Maine in 2050 under different carbon emissions scenarios.;Ocean acidification;Scientists studying ocean chemistry and ecosystems.;883
reclamation;pollution;environmental organization;884
"Yes| matches the tag ""project"".";None;None;885
analysis;none;gamers (bidders);886
Photovoltaic (PV) Poverty Alleviation;Emissions reduction| poverty alleviation;Poor households| local communities| government agencies;887
CDM projects;None;Executives;888
Three Gorges Dam;Environmental degradation;None;889
EVIDOS;None;Researchers;890
Construction waste management study in Hunan area;Environmental pollution;Local authorities| environmental protection agencies| construction companies;891
Three Gorges Dam;none;engineers;892
High-Standard Farmland (HSF) Construction Project;None;Government| Farmers| Environmentalists;893
Bo01-City of Tomorrow Project;None;None;894
None;N/A (no mention of risks);N/A (no mention of specific stakeholders);895
Solar PV project;Estimation risk;Financial institutions;896
Electricity Substitution Projects;None;Government and Energy Consumers;897
Reinforcing soft ground;Construction quality issues;Tianjin Port Industrial Zone developers & constructors;898
Deep learning algorithm;Financial loss;Construction site managers;899
Yes| 4 words;Yes| 4 words;Yes| 4 words;900
Western Corridor Recycled Water Project;Limited water supply risks;Queensland Government;902
Reclamation study;Safety;Researchers;903
ERP (East Route of the South-to-North Water Diversion Project) in Shandong Province;Pollution accident;None;904
Oil;Low;None;905
Yes;None;Researchers;906
Decision Support Systems Development Project;None;Industry Representatives| State Government Agencies;907
Collaborative initiatives (4 words);Innovation failure (3 words);Industry partners (4 words);908
Forest management project;Low;Individual forest managers;909
Renewable Energy Source (RES-E);Conflict between reducing emissions and increasing renewable energy deployment;Power companies| environmental regulators| governments;910
CO2 ocean sequestration;Ocean pollution;Research organizations;911
Streamflow increase in some rivers;Uncertainty in projection;Researchers studying climate change impacts;912
Ahimsa Project;None;Younger generation of British-born Hindu people;913
CACAO;None;Imaging experts;914
Payment;Failure;Community;915
Renewable Energy Projects;Dispersion in Power Output Signal;Electrical Generator Power Quality Measurement;916
green building;none;small contractors;917
Technological Process Development;Organizational Obstacles;Business Companies| Research Institutes| Engineers| Scientists;918
Kuwait Waterfront Project;Construction impact;Environmental agencies;919
Multicultural project management study.;Cultural differences in team management.;Engineering students (Spain & LatAm).;920
AECO industry;Slow adoption of emerging tech;Industry professionals;921
Introduction of AI methods in management workstreams;None;Researchers and practitioners in management and AI fields;922
Interdisciplinary Community Engagement Project;None;Students| University Faculty & Staff| Local Fourth Grade Teachers;923
yes;none;all;924
Bid documents;Volatility;Uncertainty;925
yes;none;government;926
Flight emission reduction schemes;Unlimited credit usage;Airline operators;927
Extending and broadening EIC;Enhancing stability of EIC network;Enterprises with EIPs;928
Improve mill's compliance;Environmental damage;Local community;929
Improving overall project sustainability (e.g.| resource efficiency| waste reduction);Sustainability-related objectives (e.g.| environmental impact);Contractor (e.g.| arrangement of input resources);930
Five Water Cohabitation (FWC);None;Government of Zhejiang Province| farmers| environmentals| local communities;931
International Development Projects (IDPs);Logical Framework Approach (LFA);Professionals;932
Flipped Learning;none;teachers;933
Pro-GET-onE;Integration of multiple technologies;Building owners and occupants;934
None;None;;935
Climate change impact assessment;Increased frequency & severity of extreme weather events;Policy makers| researchers| communities vulnerable to climate change;936
Yangtze River to Huaihe River project;none;migrants;937
Waterway health program;Environmental degradation;Local community;938
Windimurra Vanadium Project;None;Vanadium Australia| local communities| government agencies;939
NAMSA (Netherlands-led Malanj Stockpile Destruction Project);None;The following private firms were potentially involved in the Melanj disposal;941
Electrified Changji Project;None;Government and citizens of Changji;942
Climate Change Study;Floods & Droughts;Population;943
Major railway project;Technical obsolescence;Client| supplier| engineers;944
Enhanced marine ecosystem models;Climate change impacts on oceans;Scientists studying ocean health;945
Research and development project;Technical failure or low success rate;Government agencies| conservation groups| local communities;946
Demonstration projects for renewable energy applications in buildings (REAB);Economic risks associated with investing in renewable energy infrastructure;Government| equipment manufacturers| scientific research institutions| and energy consumers;947
Beach cleanup initiatives;Water pollution;Local communities & environmental groups;948
Bio-diesel project;Technical problems and unclear policies;Government and industry players;949
Regeneration project in Korea;Limited funding;Local community;950
Construction;Management;Workers;951
Urbanization projects;Environmental impact;Public developer;952
CaucaSusT;None;Local community;953
Emergency Disposal Project;Pollution Incident Risks;Responders| Engineers| Environmental Agencies;954
Sustainable Development Projects;Environmental Degradation Risk;Local Inhabitants and Environmental Organizations;955
Energy-related infrastructure development;Financial;Customer;956
New fixed assets investment project evaluation system;Environmental degradation;Government and companies in Optics Valley;957
Dow;Environmental impact;Local communities;958
Urban drain restoration project;Cost savings through restoration;Homeowners and local government;959
