risks description,risk_type,keywords,sentence tags
Computational framework failure| Tsunami damage| Earthquake event| Seismic risk| Carcinogenic agents exposure| Flood risk| Driving risk| Schedule management| International construction entry| Slope stability| High-speed railway bridge risk| Dangerous countercurrent. ,"Technical, Financial, Health, Safety. ","Risk Management, Life Quality Index, Triple-Bottom-Line, Effective Utility Management, Utility Curve, Resource-Based Views, Dynamic Capabilities, Porter's Generic Value Chain. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Struck-by accidents| Overtopping| Pipeline damage| Levee overtopping| Methanol wastewater reinjection| Platform dropped objects. ,"Financial, Technical, Health, Safety. ","Risk Management, Risk Analysis, Risk Strategies. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Ship collision and grounding| Tunnel collapse. ,"Financial, Technical, Safety. ","Risk Management, Ground-Modelling, Fuzzy Logic. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Slab and snow avalanches| High spring temperatures with fast snow melting| High water levels and heavy rainfalls| Rock falls| Dams not meeting current standards. ,"Natural Disaster, Technical, Financial. ","Risk Analysis, Cost-Benefit-Risk Analysis, CERBERE. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Termination of concession by public institution| Political opposition| Failure/delay in obtaining permit/approval| Expropriation| Flooding| Horizontal curve| Temporal and spatial variability| Infrastructure decay| Population growth| Increasing urbanization| Risk confusion| Health and safety risk| Uncertainty propagation| Concentration phenomenon| Unacceptable delay| Contaminated megasites| Robustness of road tunnels. ,"Political, Legal, Economic, Natural, Technological, Socio-political, Safety. ","Risk Theory, Multisimulation, Dynamic A*, Risk-Averse Drivers, Risk-Based Approach, Integrated Management System. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Aerosol transmission| Contamination events| Geotechnical risk| Conflict-risk| Supply chain risk| Dam failure. ,"Financial, Technical, Environmental, Social. ","Risk Assessment, Risk Mitigation, Risk Forecasting. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Ship collision and grounding| Driver inattention| Performing a non-driving related secondary task| Traffic conditions corresponding to Level of Service (LOS) D. ,"Financial, Technical, Behavioral. ","Risk Management, Relationship Risk, Safety Critical Events, Crash Risk. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Two-stage stochastic programming| Q-Learning| Traffic Risk Index| Fire Risk Evaluation| Risk of Failure| Alliance Risks| Need-for-Work and Risk Premiums| Risk Factors. ,"Financial, Technical, Production, Transaction, System Fire Safety. ","Risk Minimization, Risk Versus Return Trade-Off, Risk Control, Risk Analysis and Early Warning, Risk Contingency. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Fire safety assurance| Ground-related problems| Carcinogens| Geotechnical risk| Commodity cost risk| Soil bedding| SHM system| Water-related disasters| Landslides and debris flows| Municipal solid waste management. ,"Safety, Cost, Performance, Risk Exposure. ","Risk-oriented approach, Risk mitigation, Risk prediction, Risk-hedging decisions, Risk-based maintenance planning. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Wetland degradation| Geologic risks| Human-health risk| Fire risk| MOB risk| Vessel traffic safety risk| Bridge failure risk| Contingency model risk. ,"Ecological, Financial, Technical, Safety. ","Risk Assessment, Risk Quotient, Risk Factors, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Ship collision and grounding| COVID-19 aerosol infection risk. ,"Financial, Technical, Health. ","Risk Management, Vulnerability. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Hazard identification| Exposure assessment| Dose-response assessment| Carcinogenic substances| Soil liquefaction| Potential failure scenarios| Fatigue crack| Injury and death| Accidents and accident cost estimation| Environment-related disputes. ,"Toxic, Structural, Economic, Political, Force Majeure, Security-related, Financial. ","Risk-Informed Standardized Technical Specifications, Risk-Based Inspection, Risk-Based Method, Risk Management, Analytic Hierarchy Process. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Ship collision and grounding| Vessel-bridge collision| Human capital investment| Tunnel boring machine hazards| Dam failure| Oil terminal security| P3 contract risks. ,"Financial, Technical, Safety. ","Risk Management, Public-Private Partnership, Evidence Theory. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Ship collision and grounding| Seismic damage or failure| Financial risk assessment. ,"Financial, Technical, Seismic. ","Risk Management, Seismic Risk Analysis. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Collapse of working well| Leakage and plasma leakage| Mechanical equipment failure| Large deviation from the designed axis. ,"Construction, Technical. ","Risk Assessment, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Structural collapse| Flash flood| Tripping-related falls| Landslide| Storm sewer flooding. ,"System, Natural, Physical, Financial. ","Risk Assessment, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Cost underestimation| Inadequate cost estimates| Unidentified/insufficiently managed risk| Extreme precipitations| Water inrush/mud outburst| Slips/trips/falls| Coronavirus outbreaks| Slope instabilities| Interest conflict| Design-build risks. ,"Financial, Technical, Natural, Human, Competitive. ","Risk Assessment, Risk Management, Collective Adaptation. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Traffic revenue risks| Water seepage and gushing| Water and mud inrush| Political risk| Contamination of drinking water| Overtopping risk| Navigation risk. ,"Financial, Technical, Political. ","Risk Management, Cost-Benefit Analysis, Life Quality Index. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Unintended damage| Flood risk| Damage risks| Risk allocation| Tunnelling induced building damage| Project cost overruns. ,"Financial, Technical, Natural. ","Risk Management, Risk Assessment. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Earthquake potential loss| Tsunami hazard| Collapse| Water gushing| Explosions| Flash flooding| Debris flows. ,"Financial, Technical, Environmental. ","Risk assessment, Risk minimization, Risk evaluation. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction worker safety and health| High levels of nitrates in groundwater| Pipeline system integrity| Flood hazard risk| Occupational injury| Flood risk management| Virtual enterprise risks. ,"Financial, Technical, Health, Safety. ","Risk Based Inspection, Risk Based Integrity Management, Risk Based Maintenance, Risk Assessment, Risk Reduction. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Flood control capacity| Tunnel cross section| Green retail building development| Mid-air collision| International construction-consulting joint ventures| Avalanche risk| TBM tunnel collapse| Construction material suppliers| Bridge embankment seismic risk. ,"Financial, Technical, Safety. ","Risk Management, Risk Identification, Risk Assessment. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Landslides| Dam failure| Tunnel collapse| Crash risk. ,"Natural, Structural, Financial. ","Risk Assessment, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Ship collision and grounding| Flood hazard| Land subsidence| Safety risks| Pathogenic bacteria| Earthquake risk| Windborne debris. ,"Financial, Technical, Environmental, Health. ","Risk Management, Prevention through Design, Cognitive Bias. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Pluvial flooding| Train derailment| Aluminum toxicity| Competitive bidding| Overseas construction projects| Ground-motion prediction equations| Seismic risk| Infrastructure projects| Hazardous material cars. ,"Financial, Technical, Ecological, Competitive. ","Risk Management, Decision Support System, Risk-Informed Completion Times, Optimum Risk Management, 4D BIM Tools. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Derailment| Slope disaster| Delay propagation| Crash risk| Bridge collapse. ,"Technical, Financial. ","Risk Management, Cognitive Risk Assessment. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Spilling water| Fire Risk| Default| Automated Vehicle Risk| Equipment Safety| Terrorist Attack| Earthquake| Hypoxia| Accidental Leak. ,"Financial, Technical, Physical Safety and Comfort, Cybersecurity, Ease of Use. ","Risk Analysis, Risk Allocation, Risk Abatement, Risk Assessment. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Mountain flood disasters| Atmospheric water penetration| Schedule risk| Riserless drilling system| Occupational risk assessment| Railway safety| Bridge superstructure lifetime risk| Structural risk of diversified financing| Laboratory-acquired infection. ,"Liability, Physical, Socio-economic, Financial, Technical. ","Risk Assessment, Risk Analysis, Risk Index, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Ship collision and grounding| Bridge pier scour| Ergonomic risk assessment| Supply chain risks| Seismic risk| Flood risk| Climate change risk. ,"Financial, Technical, Safety, Operational. ","Risk Management, Resilience. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Robustness measures| Fire risk| Formaldehyde exposure| River basin risk| Price competition| Social sustainability| Flood risk| 3D printing risks. ,"System failure, Life safety, Economic, Conflict/Cooperation, Financial, Technical. ","Risk Analysis, Risk Assessment, Risk Reduction, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Ship collision and grounding| Flood risk| Vehicle accident risk| Tunnel collapse risk. ,"Financial, Technical, Societal, Safety. ","Risk Assessment, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Facility investment| Cargo-handling| Illiquidity risk| Multi-hazard| Disaster Risk Management| Water inrush| Virus infection| Autonomous underwater vehicle| Aging infrastructure| Accident risk. ,"Financial, Technical, Market, Physical, Business. ","Variable Weight, Cloud Model, Risk Evaluation, Risk Assessment, Risk-aware, Risk-based. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Early risk diagnosis| Tunnel collapse| Glass window failure| Cadmium| Lead| Arsenic| Cable system construction| Oil depot fire. ,"Domain-specific, Structural, Safety, Ecological, Financial, Technical. ","Risk assessment, Risk evaluation, Risk index, Risk quantification. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Flash flood risk| Contract violations| Hydrocarbon release| Drought risk| Geometric variability risks| Health risk| Structural failure| Ship collision and grounding. ,"Financial, Technical, Safety, Environmental, Performance. ","Risk Assessment, Risk Management, Contract Enforcement. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Forecast uncertainty| Financial risk| Urban flood risk| Metal(loid)s contamination| Knee MSD risk| Construction claims| SMEs in Slovakia| Railway Safety| Corrosion rates| Intrusion risk. ,"Reliability, Safety, Financial, Carcinogenic, Non-carcinogenic, Musculoskeletal, Negotiation. ","Risk-informed, Risk-taking, Risk-averter, Risk Management, Risk Assessment. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Ship collision and grounding| Credit risk of SMEs. ,"Financial, Technical, Health. ","Risk Management, Fuzzy Set Theory, Multi-Pathway Exposure. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Seismic risk| Urban flood risk| Nuclear power plant safety| Lead emissions health risks| Dam overtopping| Flood risk| Ergonomic risk| Groundwater exploitation and utilization risks| Construction manufacturing workplace physical demands| Agricultural product quality and safety. ,"Financial, Technical, Physiological, Regulatory, Sensitivity. ","Risk Assessment, Risk Management, Risk Mitigation. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Geological characterisation| Microprocessor-based signal and train control systems| Seismic risk| Urban flood risk| Failure mode and effect analysis| Travel time variability| Supply chain disruption| Marine Renewable Energy| Earthquake-induced loss| Subway system fire risk. ,"Regulatory, Safety, Behavioural, Financial, Technical. ","Risk Assessment, Risk Purchasing Management, Economic Order Quantity, Insurance Inventory, Regulatory Focus, Risk Priority Number, Attribute-Specific Extended Rank-Dependent Utility Theory, Regulatory Focus Theory, Stochastic Direct Sampling Method, Machine Learning-Based Fast Seismic Risk Assessment, Bayesian Network Approach. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Ship collision and grounding| Flood risk| Navigation risk| Emergency capability| Marine disaster| Power transmission project cost risk| Indoor air quality risk. ,"Financial, Technical, Environmental, Safety. ","Risk Management, Flood Visualisation, MARISA, Belief Rule Base, Fuzzy Approach. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Shadow evacuation| Fraud by vendor| Financial failure of chosen vendor| Vendor opportunism| Fall in morale of employees| Non-mandatory purposes| Rural roads. ,"Financial, Technical, Social. ","Risk Analysis, Risk Assessment, Risk Response, Risk Allocation. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Multi-hazard risk| Waterborne disease outbreaks| Emergency vehicle accidents| Bridge structural risk| RoPax ship accidents| UAS safety risk| GLOFs| Landslide risk| Fire evacuation risk. ,"Financial, Technical, Human. ","Risk Assessment, Risk Mitigation, Risk Reduction. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Ship collision| Motor vehicle emissions| Flood risk| Construction of high-rise school building| Risk allocation| Fire risks prevention| Crash risk levels. ,"Financial, Technical, Environmental, Operational. ","Risk Assessment, Risk Allocation, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Passing signals at danger| Flooding| Earthquake risk of gas pipelines| Debris flow disasters| Expansive soil landslides. ,"Safety, Economic, Technical. ","Risk forgetting, Risk assessment, Risk management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Water main breaks| Major accident risk| Traffic risk assessment| Natural and manmade disasters| Corrosion risk of steel reinforcement| Supply chain risks| Road infrastructure risk. ,"Probability and Impact Severity, Carcinogenic, Financial, Technical. ","Risk Evaluation, Risk-Sharing, Risk Mitigation, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Ship collision and grounding| Flood risk| Risk of failure. ,"Financial, Technical, Health, Safety. ","Risk Analysis, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Accidental hazards| Gas explosions| Heat waves| Population growth| Natural disasters| Grassland fire disaster| Dam overtopping| Truck-bridge collision| Vehicle conflict risk. ,"Financial, Technical, Emotional, Structural. ","Risk Analysis, Risk Reduction, Risk Assessment. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
New Town construction| Dam-break flood| Arsenic regulation| Bridge maintenance| Blue-green roofs| Seismic hazards| Pipeline failure| TMDL| Ship collision. ,"Policy and legal, Market, Financing and design, Natural, Construction, Standard and contract, Financial, Technical. ","Risk-based maintenance prioritization, Risk-based arsenic regulation, Risk-based seismic risk analysis, Risk-based TMDL, Risk-based fire risk assessment. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Windborne debris| Domino accidents| Shrinkage and swell of expansive soils| Operational risk of water mains| Scheduling-related risks in construction| Construction noise-induced risk| Flood risk. ,"Physical, Financial, Technical. ","Risk Analysis, Risk Assessment, Risk Response Strategy. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Ship collision and grounding| Flooding| Illicit Discharge Potential| Traffic Risk| Seismic Risk| Struck-by Risk. ,"Financial, Technical, Natural, Environmental, Safety. ","Risk Management, Flood Risk, Risk Factors. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Flood management| Ballast flight| Stampede accident| Rear-end conflict| Drought risk| Seismic risk| Unreinforced masonry buildings| Real estate financial risk| Bridge deterioration. ,"Natural, Safety, Financial, Technical. ","Risk Assessment, Risk Mitigation, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Prevention and control of risks| Traffic accidents| Floating Liquefied Natural Gas (FLNG) Production| Mobile telecom projects| Water utilities| Nuclear plant operator| Ship collision| Bridge failure. ,"Financial, Social, Technical. ","Risk Management, Risk-informed Categorization, Risk-informed Surveillance Test Intervals, Fault-tree Modeling, Time Discretized Non-linear Velocity Obstacle (TD-NLVO). ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Prolonged and consecutive drought events| Fire and explosion risk| Seismic risk| Human errors| Seismic damage| Water shortage and inundation. ,"Natural, Financial, Technical. ","Risk-based approach, Risk-based inspection, Reliability centred maintenance, Risk-based contractor management, Hazard adjustment, Seismic risk assessment. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Natural disaster risk| Moisture damage risk| Scouring risk| Supply disruption risk| Earthquake risk| Fall risk. ,"Financial, Technical, Social. ","Risk Management, Life Cycle Costing, Life Cycle Assessment. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Ship collision| Grounding| Flood and landslide| Tunnel collapse| Water supply network risk| Earthquake damage| Schedule delay. ,"Financial, Technical, Environmental, Safety. ","Risk Management, Multiply Connected Belief Network, Analytic Network Process, Fuzzy Quaternion Ship Domain, Joint Return Period. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Residual Value Risk| Cash-flow Management| Wheel Detachment| Climate Change| Disaster Risk Management| Slope Failure| Motorcyclists Fatality Risk. ,"Financial, Technical, Regulatory, Safety. ","Risk Assessment, Risk Management, Risk Mitigation. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Runway surface distortions| Hydroplaning risk| Delay probabilities| Flood risk management| Landslide disaster risk| Building damage| Rainfall runoff characteristics| Emergency evacuation risks| Induced seismicity| Blast protection. ,"Operational, Financial, Technical, Safety. ","Risk Investment, Risk Assessment, Risk Mitigation, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Soil erosion| Flood disaster| Surplus floodwater| Coastal hazards| Fecal coliform contamination. ,"Economic, Legal, Environmental, Natural, Technological, Political, Social. ","Risk Analysis, Risk Reduction, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Train overturning| Heavy metal exposure| Dam failures| Poor client decision making| Road traffic risks| Construction project risks| Ship risk assessment. ,"Financial, Technical, Health, Catastrophic. ","Risk assessment, Risk prioritisation, Risk mitigation, Risk-based inspection. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Ship collision and grounding| Cyberattacks| Submarine landslide| Inadequate flow capacity| Rockfall| Crash severity| Port traffic. ,"Financial, Technical, Cybersecurity, Geotechnical, Hydraulic, Systemic. ","Risk Assessment, Risk Mitigation, Risk Control. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Problems with land acquisition and compensation| Inappropriate location of toll booths| Public resistance to pay| High toll rate| Lack of cash flow. ,"Financial, Technical. ","Risk Management, Pollutant Transport, Eutrophication. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Intrusion of contaminants| Regrowth of bacteria| Water treatment breakthrough| Leaching of chemicals| Permeation of organic compounds| Inadvertent risk-risk tradeoffs| Physical threats to highway transportation systems| Flood engineering| Disinfection by-products| Gas explosion in coal mines. ,"Financial, Technical, Health, Safety. ","Risk Analysis, Risk Assessment, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Ship collision and grounding| Government intervention| Public credit. ,"Financial, Technical, Government-related. ",Risk Management. ,"Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Contractor's financial difficulties| Owner's delay in making progress payments for completed works| Contracts awarded to the lowest bidder| Change orders during construction| Ineffective project planning and scheduling by the contractor| Shortage of manpower| Contractor's poor site management and supervision| Change orders during construction| Contracts awarded to the lowest bidder| Living close to a main road or highway| Visible mold spots| Current pet keeping. ,"Financial, Technical, Environmental. ","Risk Assessment, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Return period and risk of extreme hydrological events| Scheduling risk analysis and measure| Probabilistic risk assessment| Overtopping risk| Flood risk| Structural deterioration| Network-level risks| Life-cycle risk assessment| Evolving risks. ,"Financial, Technical, Social. ","Risk Management, Cost-benefit Analysis, System Reliability Analysis. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Tunnel boring machine failure| Pedestrian stampede| Hull girder collapse| Commute-related risk| Floodwater utilization| Variable message sign deployment. ,"Geotechnical, Safety, Financial, Technical. ","Risk Management, Risk Assessment, Risk-based Decision-Making. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
House dust mites infestation| Pedestrian fatalities| Slope stability| Underwater tunnel excavation| Wind phenomena. ,"Allergic, Injury, Geological, Technical, Economic. ","Risk Allocation, Risk Assessment, Risk Analysis, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Pollution| Floods| Airborne transmission| Adverse weather| Structural stability| Cross-infection risk| Flood Risk Management| Flood damage| Human lives| VOCs. ,"Environmental, Financial, Technical, Health. ","Risk Analysis, Risk Assessment, Risk Management, Flood Protection. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Fire risk| Water disaster| Harmful gas| Underground damage| Equipment tool accident| Person injure accident. ,"Safety, Psychological, Social, Physical, Political, Cultural. ","Risk Perception, Building Evacuation, Risk Assessment. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Parking revenue| Investment costs| Fire safety engineering| Geotechnical uncertainty| Bridge scour| Rockburst| Rockfall| Seismic risk. ,"Financial, Technical, Natural. ","Risk Assessment, Risk Mitigation, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Drought severity| Infectious risk propagation| Driving risk evaluation| Natural and epistemic uncertainty| Demolition for renovation| Water inrush| Risk of infection| Infrastructure expansion decision making| Land and island transportation safety. ,"Technocratic, Public Health, Financial, Technical. ","Risk Analysis, Risk Mitigation, Risk Evaluation, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Ship collision and grounding| Flood risk| Unsafe confined space operations. ,"Financial, Technical, Physical, Environmental. ","Risk Management, Flood Risk, Bicycle Route Choice. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Ship collision and grounding| Fire risk| Flood damage loss| Fish entrainment risk. ,"Financial, Technical, Seismic. ","Risk Management, Seismic Risk Assessment. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Ship collision and grounding| Traffic crash| Pit wall instability| Project delay/risk factors. ,"Financial, Technical, Safety. ","Risk Management, Buffer sizing methodology, Driving risk index. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
